,Genre,Node
0,Jazz,532957
1,Blues,3829
2,Religious,13511
3,Pop/Rock,53221
4,Vocal,82584
5,Blues,115733
6,Pop/Rock,131603
7,Jazz,162677
8,R&B;,169088
9,Jazz,170690
10,Vocal,212612
11,Vocal,260038
12,Jazz,272567
13,Jazz,287604
14,R&B;,303050
15,R&B;,343396
16,Blues,376888
17,Vocal,479028
18,Stage & Screen,569119
19,Comedy/Spoken,744548
20,Vocal,750203
21,Vocal,768367
22,Vocal,769876
23,Pop/Rock,775588
24,Vocal,792507
25,Vocal,815575
26,Blues,819894
27,Vocal,894827
28,Vocal,79016
29,Vocal,6334
30,R&B;,17929
31,Vocal,29867
32,Jazz,30925
33,R&B;,40225
34,Vocal,47134
35,Vocal,48908
36,Vocal,64830
37,R&B;,78044
38,Vocal,82831
39,Jazz,104388
40,Pop/Rock,122754
41,Pop/Rock,127360
42,Vocal,127766
43,Pop/Rock,131603
44,Pop/Rock,133969
45,Pop/Rock,137390
46,Vocal,160742
47,Vocal,162930
48,R&B;,165011
49,Pop/Rock,168256
50,Pop/Rock,169795
51,R&B;,170454
52,R&B;,170770
53,Jazz,175553
54,Pop/Rock,177060
55,Classical,179714
56,Vocal,185948
57,Vocal,193594
58,International,195373
59,Folk,196969
60,Vocal,197460
61,Vocal,204901
62,Vocal,212612
63,Pop/Rock,213212
64,Pop/Rock,216846
65,R&B;,232869
66,R&B;,238115
67,Pop/Rock,248798
68,Jazz,255210
69,Vocal,256349
70,Jazz,259529
71,Vocal,260038
72,R&B;,290072
73,Folk,299882
74,Pop/Rock,301619
75,Vocal,324819
76,Latin,338593
77,Vocal,345734
78,Pop/Rock,359966
79,Vocal,368367
80,Vocal,368451
81,R&B;,384675
82,Pop/Rock,386560
83,Folk,394449
84,Vocal,395819
85,Vocal,411761
86,R&B;,477875
87,Vocal,479028
88,Pop/Rock,479772
89,Vocal,487535
90,Vocal,495784
91,R&B;,500889
92,Pop/Rock,524522
93,R&B;,532610
94,Pop/Rock,546976
95,Pop/Rock,551872
96,Vocal,568368
97,R&B;,572579
98,International,573410
99,Pop/Rock,574035
100,Jazz,589209
101,Vocal,590265
102,R&B;,594665
103,Jazz,596922
104,R&B;,627026
105,R&B;,658346
106,Pop/Rock,696015
107,R&B;,733717
108,R&B;,756291
109,Vocal,769876
110,R&B;,778344
111,Pop/Rock,780258
112,Vocal,792507
113,Pop/Rock,792530
114,Pop/Rock,794161
115,R&B;,795053
116,International,797056
117,R&B;,801573
118,R&B;,802302
119,Pop/Rock,803009
120,Blues,806542
121,R&B;,806877
122,Vocal,815575
123,Vocal,816896
124,R&B;,830375
125,International,837328
126,Vocal,837592
127,Vocal,855531
128,Jazz,864257
129,Pop/Rock,884686
130,R&B;,907868
131,R&B;,927555
132,Vocal,954646
133,Pop/Rock,3144637
134,Pop/Rock,3323342
135,Religious,13511
136,Jazz,259529
